ClassName,Type,ReportedName,DerivedDisplayName,DisplayName,Suppressed,Deleted,Changed,New,Vetted
org.openapitools.codegen.languages.JMeterCodegen,CLIENT,jmeter,JMeter Client,,,*,*,,
org.openapitools.codegen.languages.JavaCXFClientCodegen,CLIENT,jaxrs-cxf-client,Java CXF Client,,,,,,*
org.openapitools.codegen.languages.JavaCXFServerCodegen,SERVER,jaxrs-cxf,Java CXF Server,Java CXF (JAX-RS) Server,,,,,*
org.openapitools.codegen.languages.JavaClientCodegen,CLIENT,java,Java Client,,,,,,*
org.openapitools.codegen.languages.JavaInflectorServerCodegen,SERVER,java-inflector,Java Inflector Server,,,,,,*
org.openapitools.codegen.languages.JavaJAXRSCXFCDIServerCodegen,SERVER,jaxrs-cxf-cdi,Java JAXRSCXFCDI Server,Java CXF (JAX-RS + CDI) Server,,,,,*
org.openapitools.codegen.languages.JavaJAXRSSpecServerCodegen,SERVER,jaxrs-spec,Java JAXRSSpec Server,Java JAX-RS v2 Server,,,,,*
org.openapitools.codegen.languages.JavaJerseyServerCodegen,SERVER,jaxrs-jersey,Java Jersey Server,Java Jersey (JAX-RS) Server,,,,,*
org.openapitools.codegen.languages.JavaMSF4JServerCodegen,SERVER,java-msf4j,Java MSF4J Server,,,,,,*
org.openapitools.codegen.languages.JavaPKMSTServerCodegen,SERVER,java-pkmst,Java PKMST Server,,,,,,*
org.openapitools.codegen.languages.JavaPlayFrameworkCodegen,SERVER,java-play-framework,Java Play Framework Server,,,,,,*
org.openapitools.codegen.languages.JavaResteasyEapServerCodegen,SERVER,jaxrs-resteasy-eap,Java Resteasy Eap Server,Java RESTEasy (JAX-RS) Server for JBoss EAP,,,,,*
org.openapitools.codegen.languages.JavaResteasyServerCodegen,SERVER,jaxrs-resteasy,Java Resteasy Server,Java RESTEasy (JAX-RS) Server,,,,,*
org.openapitools.codegen.languages.JavaUndertowServerCodegen,SERVER,java-undertow-server,Java Undertow Server,,,,,,*
